,Sailboat,Price,Location,Broker,length,year,url,created_date
0,Hunter 460,"US$209,000","Brunswick, Georgia, United States",Dunbar Yachts,46 ft,2006,https://www.yachtworld.com/yacht/2006-hunter-460-8460531/,2022-08-23
1,Hunter 460,"US$179,900","Tacoma, Washington, United States",NW Yachtnet,46 ft,2001,https://www.yachtworld.com/yacht/2001-hunter-460-8022715/,2021-09-07
2,Hunter 46LE,"US$169,500","Fort Lauderdale, Florida, United States",Berger Yacht Sales,46 ft,2006,https://www.yachtworld.com/yacht/2006-hunter-46le-7977642/,2021-08-05
3,Hunter 460,"US$139,000","Wilmington, California, United States",Seacoast Yachts – LA Harbor,46 ft,2000,https://www.yachtworld.com/yacht/2000-hunter-460-8468635/,2022-08-29
4,Hunter Passage 450,"US$109,000","Seattle, Washington, United States",Seattle,45 ft,1998,https://www.yachtworld.com/yacht/1998-hunter-passage-450-8216651/,2022-02-15
5,Hunter 45 Deck Salon,"US$199,000","Bellingham, Washington, United States",Seattle Yachts - Anacortes,45 ft,2008,https://www.yachtworld.com/yacht/2008-hunter-45-deck-salon-8428704/,2022-08-02
6,Hunter 45 DS,"US$229,000","Lighthouse Point, Florida, United States",Berger Yacht Sales,45 ft,2012,https://www.yachtworld.com/yacht/2012-hunter-45-ds-8367112/,2022-06-22
7,Hunter 45cc,"US$211,233","Duncan, British Columbia, Canada",Passage Yacht Sales,45 ft,2007,https://www.yachtworld.com/yacht/2007-hunter-45cc-8117577/,2021-11-23
8,Hunter 45 Center Cockpit,"US$198,000","Humacao, Puerto Rico",IMS Yachts,45 ft,2008,https://www.yachtworld.com/yacht/2008-hunter-45-center-cockpit-8389494/,2022-07-08
9,Hunter 33,"US$20,500","Middle Bass, Ohio, United States",Harbor North,33 ft,1989,https://www.yachtworld.com/yacht/1989-hunter-33-8455303/,2022-08-19
10,Hunter 410,"US$88,580","aprilia marittima, Friuli-Venezia Giulia, Italy",Pedetti Yacht,41 ft,2002,https://www.yachtworld.com/yacht/2002-hunter-410-8401050/,2022-07-18
11,Hunter Legend 430,"US$78,728","Lefkas, Greece",CREO Yacht Brokers Ltd,42 ft,1996,https://www.yachtworld.com/yacht/1996-hunter-legend-430-8418558/,2022-07-28
12,Hunter 36,CallforPrice,"Dalmatia, Croatia",munitor,35 ft,2011,https://www.yachtworld.com/yacht/2011-hunter-36-7673152/,2020-12-01
13,Hunter 335,"US$32,500","Everett, Washington, United States",Cross Water Yacht Sales,33 ft,1988,https://www.yachtworld.com/yacht/1988-hunter-335-8451932/,2022-08-17
14,Hunter 45 DS,"US$126,965","Burgas, Bulgaria",Bach Yachting Croatia,42 ft,2009,https://www.yachtworld.com/yacht/2009-hunter-45-ds-8369360/,2022-06-24
15,Hunter 33,"US$79,795","Oakville, Ontario, Canada",Navy Point Yacht Sales-Toronto,34 ft,2005,https://www.yachtworld.com/yacht/2005-hunter-33-8432959/,2022-08-05
16,Hunter 26,"US$26,000","San Diego, California, United States","Bay Yachts, Inc.",26 ft,2000,https://www.yachtworld.com/yacht/2000-hunter-26-8428645/,2022-08-02
17,Hunter 30,"US$10,000","Sandusky, Ohio, United States",Harbor North,30 ft,1981,https://www.yachtworld.com/yacht/1981-hunter-30-5072716/,2015-04-28
18,Hunter 410,"US$80,000","Rouses Point, New York, United States",Boats R Fun,41 ft,1999,https://www.yachtworld.com/yacht/1999-hunter-410-7776414/,2021-02-17
19,Hunter Channel 323,"US$45,700","Hayling Island, Hampshire, United Kingdom",Waterside Boat Sales,32 ft,1997,https://www.yachtworld.com/yacht/1997-hunter-channel-323-8347853/,2022-06-08
20,Hunter 430 Owners A/C Gen,"US$58,857","Dalmatia, Croatia",Selymar Yachts,43 ft,1997,https://www.yachtworld.com/yacht/1997-hunter-430-owners-a-c-gen-8403964/,2022-07-20
21,Hunter 430,"US$129,900","Kemah, Texas, United States",Little Yacht Sales,43 ft,1998,https://www.yachtworld.com/yacht/1998-hunter-430-8433085/,2022-08-05
22,Hunter Legend43,"US$99,000","Long Beach, California, United States",McClintock Yacht & Ship Brokerage,43 ft,1996,https://www.yachtworld.com/yacht/1996-hunter-legend43-8212995/,2022-02-11
23,Hunter Legend,"US$119,000","Atlantic City, New Jersey, United States",Yachts New England,43 ft,1994,https://www.yachtworld.com/yacht/1994-hunter-legend-8355104/,2022-06-14
24,Hunter Legend 430,"US$78,728","Lefkas, Greece",CREO Yacht Brokers Ltd,42 ft,1996,https://www.yachtworld.com/yacht/1996-hunter-legend-430-8418558/,2022-07-28
25,Hunter 430,"US$99,999","Pensacola, Florida, United States",Myers Yacht Sales,43 ft,1995,https://www.yachtworld.com/yacht/1995-hunter-430-8468608/,2022-08-29
